
======================================================================
## A. 每服每日新增注册人数 (est)
======================================================================
[dataapi] download ready rows=143 latency=55281ms
serverid | ds | new_users
------------------------------------------------------------
39005900001598 | 20260510 | 10
39005900001598 | 20260511 | 11
39005900001598 | 20260512 | 14
39005900001598 | 20260513 | 17
39005900001598 | 20260514 | 7
39005900001598 | 20260515 | 12
39005900001598 | 20260516 | 10
39005900001598 | 20260517 | 14
39005900001598 | 20260518 | 17
39005900001598 | 20260519 | 13
39005900001598 | 20260520 | 10
39005900001598 | 20260521 | 4
39005900001598 | 20260522 | 3
39005900001598 | 20260523 | 3
39005900001598 | 20260524 | 1
39005900001598 | 20260526 | 1
39005900001598 | 20260527 | 1
39005900001598 | 20260528 | 2
39005900001598 | 20260529 | 4
39005900001598 | 20260530 | 1
39005900001598 | 20260531 | 2
39005900001598 | 20260601 | 2
39005900001598 | 20260602 | 2
39005900001598 | 20260603 | 5
39005900001598 | 20260604 | 3
39005900001598 | 20260605 | 2
39005900001598 | 20260606 | 2
39005900001598 | 20260607 | 2
39005900001598 | 20260609 | 1
39005900001598 | 20260610 | 2
39005900001598 | 20260612 | 1
39005900001598 | 20260613 | 1
39005900001598 | 20260615 | 1
39005900001598 | 20260616 | 2
39005900001598 | 20260618 | 2
39005900001598 | 20260625 | 1
39005900001598 | 20260626 | 1
39005900001598 | 20260628 | 1
39005900001598 | 20260630 | 1
39005900001598 | 20260701 | 1
39005900001598 | 20260705 | 1
39005900001598 | 20260707 | 1
39005900001598 | 20260713 | 1
39005900001598 | 20260714 | 1
39005900001599 | 20260520 | 8
39005900001599 | 20260521 | 17
39005900001599 | 20260522 | 15
39005900001599 | 20260523 | 14
39005900001599 | 20260524 | 7
39005900001599 | 20260525 | 8
39005900001599 | 20260526 | 10
39005900001599 | 20260527 | 7
39005900001599 | 20260528 | 16
39005900001599 | 20260529 | 7
39005900001599 | 20260530 | 10
39005900001599 | 20260531 | 11
39005900001599 | 20260601 | 4
39005900001599 | 20260602 | 7
39005900001599 | 20260603 | 8
39005900001599 | 20260604 | 9
39005900001599 | 20260605 | 7
39005900001599 | 20260606 | 5
39005900001599 | 20260607 | 10
39005900001599 | 20260608 | 9
39005900001599 | 20260609 | 7
39005900001599 | 20260610 | 14
39005900001599 | 20260611 | 1
39005900001599 | 20260613 | 1
39005900001599 | 20260615 | 3
39005900001599 | 20260619 | 1
39005900001599 | 20260620 | 1
39005900001599 | 20260621 | 4
39005900001599 | 20260622 | 3
39005900001599 | 20260623 | 2
39005900001599 | 20260624 | 1
39005900001599 | 20260625 | 1
39005900001599 | 20260628 | 1
39005900001599 | 20260703 | 2
39005900001599 | 20260704 | 2
39005900001599 | 20260705 | 2
39005900001599 | 20260707 | 1
39005900001599 | 20260708 | 1
39005900001599 | 20260709 | 1
39005900001599 | 20260712 | 3
39005900001599 | 20260713 | 2
39005900001599 | 20260714 | 1
39005900001599 | 20260715 | 2
39005900001599 | 20260717 | 1
39005900001599 | 20260719 | 1
39005900001600 | 20260529 | 81
39005900001600 | 20260610 | 12
39005900001600 | 20260611 | 17
39005900001600 | 20260612 | 8
39005900001600 | 20260613 | 13
39005900001600 | 20260614 | 12
39005900001600 | 20260615 | 15
39005900001600 | 20260616 | 9
39005900001600 | 20260617 | 7
39005900001600 | 20260618 | 7
39005900001600 | 20260619 | 5
39005900001600 | 20260620 | 7
39005900001600 | 20260621 | 3
39005900001600 | 20260625 | 1
39005900001600 | 20260628 | 2
39005900001600 | 20260629 | 1
39005900001600 | 20260705 | 2
39005900001600 | 20260706 | 1
39005900001600 | 20260709 | 1
39005900001600 | 20260710 | 1
39005900001600 | 20260711 | 1
39005900001600 | 20260712 | 1
39005900001600 | 20260714 | 1
39005900001600 | 20260715 | 1
39005900001600 | 20260716 | 1
39005900001600 | 20260717 | 3
