
======================================================================
## 1a. prop 近7天全游戏数据量验证
======================================================================
[dataapi] download ready rows=8 latency=5050ms
ds | cnt
20260713 | 13814
20260714 | 13824
20260715 | 12818
20260716 | 12282
20260717 | 6481
20260718 | 6103
20260719 | 13694
20260720 | 9021
(8 行)

======================================================================
## 1b. prop 近7天新服数据量
======================================================================
[dataapi] download ready rows=4 latency=5031ms
serverid | cnt
39005900001599 | 2647
39005900001601 | 1045
39005900001600 | 771
39005900001598 | 396
(4 行)

======================================================================
## 2. 每服每日付费金额趋势 (重试)
======================================================================
[dataapi] download ready rows=175 latency=31ms
serverid | ds | payers | usd
39005900001598 | 20260510 | 3 | 159.98
39005900001598 | 20260511 | 3 | 149.97
39005900001598 | 20260512 | 4 | 539.99
39005900001598 | 20260513 | 3 | 99.99
39005900001598 | 20260514 | 3 | 220.0
39005900001598 | 20260515 | 3 | 174.99
39005900001598 | 20260516 | 5 | 239.99
39005900001598 | 20260517 | 2 | 89.99
39005900001598 | 20260518 | 2 | 29.99
39005900001598 | 20260519 | 2 | 19.99
39005900001598 | 20260520 | 2 | 109.99
39005900001598 | 20260521 | 2 | 94.99
39005900001598 | 20260522 | 2 | 99.97
39005900001598 | 20260523 | 4 | 119.99
39005900001598 | 20260524 | 3 | 60.0
39005900001598 | 20260525 | 2 | 60.0
39005900001598 | 20260526 | 1 | 10.0
39005900001598 | 20260527 | 2 | 65.0
39005900001598 | 20260529 | 1 | 10.0
39005900001598 | 20260530 | 1 | 20.0
39005900001598 | 20260531 | 1 | 9.99
39005900001598 | 20260601 | 1 | 5.0
39005900001598 | 20260602 | 2 | 20.99
39005900001598 | 20260603 | 1 | 5.0
39005900001598 | 20260604 | 1 | 20.0
39005900001598 | 20260605 | 2 | 85.0
39005900001598 | 20260606 | 3 | 59.99
39005900001598 | 20260607 | 1 | 59.98
39005900001598 | 20260608 | 3 | 50.99
39005900001598 | 20260609 | 2 | 15.0
39005900001598 | 20260610 | 4 | 39.97
39005900001598 | 20260611 | 5 | 159.98
39005900001598 | 20260612 | 1 | 29.99
39005900001598 | 20260613 | 4 | 55.98
39005900001598 | 20260614 | 1 | 9.99
39005900001598 | 20260615 | 1 | 30.0
39005900001598 | 20260616 | 1 | 20.0
39005900001598 | 20260617 | 1 | 20.0
39005900001598 | 20260618 | 1 | 69.98
39005900001598 | 20260620 | 1 | 40.0
39005900001598 | 20260623 | 1 | 20.0
39005900001598 | 20260624 | 1 | 40.0
39005900001598 | 20260626 | 2 | 19.99
39005900001598 | 20260628 | 1 | 100.0
39005900001598 | 20260630 | 1 | 10.0
39005900001598 | 20260701 | 1 | 10.0
39005900001598 | 20260702 | 1 | 5.0
39005900001598 | 20260705 | 1 | 20.0
39005900001598 | 20260706 | 1 | 19.99
39005900001598 | 20260708 | 1 | 10.0
39005900001598 | 20260712 | 1 | 9.99
39005900001598 | 20260714 | 1 | 20.0
39005900001598 | 20260715 | 2 | 40.0
39005900001598 | 20260716 | 1 | 9.99
39005900001598 | 20260717 | 1 | 10.0
39005900001599 | 20260520 | 3 | 110.0
39005900001599 | 20260521 | 3 | 249.94
39005900001599 | 20260522 | 3 | 114.97
