
======================================================================
## 1. prop 钻石消费系统分布 TRY_CAST (开服~20260719)
======================================================================
[dataapi] download ready rows=426 latency=10046ms
serverid | system_method | times | users | cost_diamonds
39005900001598 | UserActivity.receive | 503 | 19 | 461674
39005900001598 | UserBoss.boxDraw | 423 | 15 | 123600
39005900001598 | UserLuckybag.buy | 205 | 21 | 84520
39005900001598 | UserCapsuleEgg.capsuleEgg | 1494 | 17 | 77200
39005900001598 | UserLuckyTree.buy | 115 | 17 | 62730
39005900001598 | UserFirstPayNew.buyFund | 16 | 16 | 59184
39005900001598 | UserZhuan.buyTicket | 54 | 14 | 58500
39005900001598 | UserNavigation.bet | 65 | 13 | 52858
39005900001598 | UserTask.totalLoop | 386 | 24 | 37258
39005900001598 | UserVip.activateMonthVip | 63 | 32 | 36837
39005900001598 | UserBeachBox.boxCD | 120 | 9 | 34600
39005900001598 | UserMall.buy | 40 | 11 | 28688
39005900001598 | UserBubble.trainBubbleOneC | 59 | 8 | 26440
39005900001598 | UserTrain.unlock | 35 | 24 | 25200
39005900001598 | UserSignInNew.resign | 439 | 45 | 21950
39005900001598 | UserBubble.resetBubble | 114 | 11 | 21900
39005900001598 | UserBeachBox.buyCaibei | 47 | 10 | 17310
39005900001598 | UserHomeLibrary.oneclick | 266 | 9 | 16100
39005900001598 | UserTrain.clear | 56 | 12 | 13695
39005900001598 | UserMysteryMan.exchangeLight | 23 | 8 | 12304
39005900001598 | UserBusiness.join | 40 | 13 | 11797
39005900001598 | UserSummerCarnival.buyTicket | 19 | 7 | 10800
39005900001598 | UserShop.buyItem | 63 | 6 | 10482
39005900001598 | UserCard.done | 24 | 8 | 10350
39005900001598 | UserMetallurgy.explore | 45 | 5 | 8160
39005900001598 | UserHomeLibrary.add_warehouse | 40 | 11 | 7970
39005900001598 | UserLuck.exchangeLuckPoint | 20 | 7 | 6900
39005900001598 | UserGarden.expand | 15 | 10 | 6900
39005900001598 | UserElementLand.receive | 60 | 4 | 6600
39005900001598 | UserArena.findPkCost | 123 | 12 | 6150
39005900001598 | UserLanternCopy.exchange | 17 | 3 | 5000
39005900001598 | UserFight.boss | 100 | 3 | 5000
39005900001598 | UserSlot.buy | 16 | 2 | 4800
39005900001598 | UserShip.flush | 154 | 7 | 4620
39005900001598 | UserLevy.levy | 309 | 19 | 3760
39005900001598 | UserCapsuleEgg.oneKeyReset | 35 | 2 | 3500
39005900001598 | UserTower.clearCd | 95 | 5 | 2960
39005900001598 | UserCommon.payEnergy | 23 | 9 | 2900
39005900001598 | UserTask.totalLoopAvatar | 136 | 9 | 2706
39005900001598 | UserHomeBaby.getBaby | 270 | 17 | 2700
39005900001598 | UserHomeLand.sweepTask | 206 | 15 | 2032
39005900001598 | UserMetallurgy.buyEnergy | 18 | 8 | 1980
39005900001598 | UserFish.laser | 17 | 4 | 1700
39005900001598 | UserArena.addNum | 23 | 8 | 1650
39005900001598 | UserStage.buyTimes | 7 | 1 | 1600
39005900001598 | UserItem.punching | 8 | 6 | 1500
39005900001598 | UserMazeEvent.autoAnswer | 29 | 3 | 1450
39005900001598 | UserMarriage.AddMultiIntimacy | 8 | 1 | 1200
39005900001598 | UserGem.OneRemove | 7 | 2 | 1050
39005900001598 | UserFish.bait | 5 | 3 | 1000
39005900001598 | UserFactionBoss.unlock | 1 | 1 | 1000
39005900001598 | UserGarden.ransom | 3 | 1 | 987
39005900001598 | UserStage.sweepOver | 40 | 5 | 900
39005900001598 | UserResourceRetrieve.autoRetrieve | 4 | 1 | 850
39005900001598 | UserStage.payNum | 9 | 3 | 850
39005900001598 | UserFaction.multiDonate | 3 | 2 | 800
39005900001598 | UserMaze.buyShop | 8 | 6 | 790
39005900001598 | UserGarden.speedGrab | 14 | 3 | 775
39005900001598 | UserMaze.buyNum | 3 | 3 | 750
39005900001598 | UserHomeBaby.getHomeBlessing | 14 | 2 | 700
39005900001598 | UserBubble.trainBubble | 30 | 6 | 680
39005900001598 | UserTrain.train | 8 | 4 | 650
39005900001598 | UserLadder.buy | 7 | 3 | 600
39005900001598 | UserServerShip.payGoldDragon | 1 | 1 | 600
39005900001598 | UserTarot.buyCDtime | 11 | 7 | 550
39005900001598 | UserItem.itemEnchanting | 8 | 1 | 540
39005900001598 | UserGarden.landLevelUp | 10 | 2 | 500
39005900001598 | UserLeague.createLeague | 1 | 1 | 500
39005900001598 | UserNavigation.buyShop | 11 | 2 | 480
39005900001598 | UserHomeBaby.clearGetBabyCd | 28 | 9 | 465
39005900001598 | UserTower.buyEliteTimes | 12 | 4 | 440
39005900001598 | UserMazeEvent.modify | 21 | 5 | 410
39005900001598 | UserBoss.embrave | 8 | 2 | 400
39005900001598 | UserServerLadder.buyNum | 8 | 2 | 380
39005900001598 | UserChristmas.selectScoreAward | 2 | 1 | 355
39005900001598 | UserTavern.draw | 3 | 3 | 300
39005900001598 | UserFaction.donate | 3 | 1 | 300
39005900001598 | UserArena.clearCd | 7 | 6 | 280
39005900001598 | UserFaction.clearQuitCd | 6 | 6 | 244
39005900001598 | UserLadder.clearCd | 3 | 3 | 210
39005900001598 | UserDirectMall.buy | 1 | 1 | 200
39005900001598 | UserVvip.pointActive | 1 | 1 | 199
39005900001598 | UserBoss.clearCd | 7 | 3 | 175
39005900001598 | UserTask.completeLoop | 87 | 10 | 174
39005900001598 | UserMaze.buyEnergy | 3 | 2 | 160
39005900001598 | UserMaze.buyChange | 3 | 1 | 150
39005900001598 | UserAngel.equipAdvance | 2 | 2 | 130
39005900001598 | UserAngel.buyLoveNum | 4 | 1 | 100
39005900001598 | UserServerWindCloud.betAdd | 2 | 1 | 100
39005900001598 | QueueRead.quizCheatAll | 1 | 1 | 100
39005900001598 | . | 2 | 1 | 100
39005900001598 | UserUndercityNew.payNum | 1 | 1 | 100
39005900001598 | UserHomeBaby.changeBabySex | 1 | 1 | 63
39005900001598 | UserTrain.buy | 1 | 1 | 50
39005900001598 | UserTomb.clearCd | 1 | 1 | 30
39005900001598 | UserTower.openCard | 1 | 1 | 25
39005900001598 | UserGarden.flushCanSlave | 1 | 1 | 25
39005900001598 | UserResourceRetrieve.retrieve | 1 | 1 | 25
39005900001598 | UserServerLadder.payFlush | 1 | 1 | 20
39005900001598 | UserMaze.bribe | 1 | 1 | 15
39005900001598 | UserHomeLand.refreshMineCost | 1 | 1 | 10
39005900001598 | UserHomeLand.refreshFarmCost | 1 | 1 | 10
39005900001598 | UserHomeLand.refreshTreeCost | 1 | 1 | 10
39005900001599 | UserActivity.receive | 1827 | 40 | 1186172
39005900001599 | UserLuckybag.buy | 714 | 32 | 367050
39005900001599 | UserLuckyTree.buy | 293 | 28 | 313800
39005900001599 | UserBoss.boxDraw | 898 | 30 | 263300
39005900001599 | UserNavigation.bet | 175 | 23 | 227511
39005900001599 | UserCapsuleEgg.capsuleEgg | 3448 | 24 | 172400
39005900001599 | UserStage.buyTimes | 28 | 1 | 89500
39005900001599 | UserFirstPayNew.buyFund | 21 | 21 | 77679
39005900001599 | UserBubble.trainBubbleOneC | 89 | 7 | 64700
39005900001599 | UserElementLand.receive | 377 | 11 | 63000
39005900001599 | UserMall.buy | 132 | 26 | 60880
39005900001599 | UserVip.activateMonthVip | 96 | 43 | 55604
39005900001599 | UserBubble.resetBubble | 164 | 16 | 53200
39005900001599 | UserTrain.unlock | 54 | 37 | 44100
39005900001599 | UserTask.totalLoop | 423 | 27 | 40340
39005900001599 | UserZhuan.buyTicket | 52 | 15 | 36450
39005900001599 | UserSummerCarnival.buyTicket | 51 | 10 | 35700
39005900001599 | UserSignInNew.resign | 706 | 58 | 35300
39005900001599 | UserHomeLibrary.oneclick | 588 | 16 | 34800
39005900001599 | UserBeachBox.boxCD | 53 | 4 | 33250
39005900001599 | UserLevy.levy | 847 | 38 | 33080
39005900001599 | UserCard.done | 39 | 11 | 29700
39005900001599 | UserShop.buyItem | 100 | 11 | 26679
39005900001599 | UserGarden.landLevelUp | 98 | 12 | 23650
39005900001599 | UserMetallurgy.explore | 114 | 18 | 21180
39005900001599 | UserMetallurgy.buyEnergy | 39 | 14 | 20820
39005900001599 | UserBeachBox.buyCaibei | 28 | 9 | 20550
39005900001599 | UserArena.addNum | 156 | 9 | 19250
39005900001599 | UserCommon.payEnergy | 110 | 11 | 18600
39005900001599 | UserDirectMall.buy | 46 | 7 | 18000
39005900001599 | UserMaze.buyNum | 39 | 10 | 16500
39005900001599 | UserSlot.buy | 55 | 9 | 16500
39005900001599 | UserTavern.drawMulti | 10 | 3 | 16000
39005900001599 | UserBusiness.join | 81 | 18 | 14814
39005900001599 | UserGarden.expand | 26 | 15 | 14700
39005900001599 | UserPosy.posyForge | 11 | 2 | 13700
39005900001599 | UserHomeLibrary.add_warehouse | 57 | 15 | 13100
39005900001599 | UserArena.findPkCost | 252 | 21 | 12600
39005900001599 | UserLuck.exchangeLuckPoint | 35 | 13 | 12080
39005900001599 | UserMysteryMan.exchangeLight | 33 | 12 | 12067
39005900001599 | UserTrain.clear | 44 | 11 | 10811
39005900001599 | UserHomeBaby.getHomeBlessing | 196 | 8 | 9800
39005900001599 | UserMaze.buyShop | 87 | 7 | 8580
39005900001599 | UserItem.punching | 22 | 12 | 7950
39005900001599 | UserFaction.multiDonate | 10 | 5 | 7600
39005900001599 | UserFish.bait | 32 | 8 | 6800
39005900001599 | UserGarden.speedGrab | 113 | 8 | 6475
39005900001599 | UserTrain.train | 52 | 8 | 5350
39005900001599 | UserBubble.trainBubble | 43 | 10 | 4940
39005900001599 | UserFish.laser | 47 | 8 | 4700
39005900001599 | UserTask.totalLoopAvatar | 235 | 15 | 4608
39005900001599 | UserHomeLand.sweepTask | 468 | 24 | 4584
39005900001599 | UserMutation.choiceBox | 5 | 1 | 4500
39005900001599 | UserTower.buyEliteTimes | 115 | 11 | 4240
39005900001599 | UserShip.flush | 138 | 8 | 4140
39005900001599 | UserStage.payNum | 41 | 8 | 3950
39005900001599 | UserTower.openCard | 95 | 7 | 3875
39005900001599 | UserBoss.embrave | 77 | 8 | 3850
39005900001599 | UserNavigation.buyShop | 11 | 6 | 3574
39005900001599 | UserServerWindCloud.betAdd | 7 | 1 | 3500
39005900001599 | UserCapsuleEgg.oneKeyReset | 34 | 6 | 3400
39005900001599 | UserHomeBaby.getBaby | 321 | 24 | 3210
39005900001599 | Dungeon.clearCd | 52 | 5 | 2585
39005900001599 | UserVvip.pointActive | 11 | 4 | 2539
39005900001599 | UserHomeSystem.flushMagicShop | 46 | 4 | 2300
39005900001599 | UserTarot.buyCDtime | 41 | 15 | 2050
39005900001599 | UserMaze.buyEnergy | 31 | 9 | 1930
39005900001599 | UserLadder.buy | 23 | 8 | 1850
39005900001599 | UserServerLadder.buyNum | 19 | 3 | 1520
39005900001599 | UserParty.toast | 10 | 1 | 1500
39005900001599 | UserMazeEvent.autoAnswer | 29 | 5 | 1450
39005900001599 | UserMazeEvent.modify | 62 | 8 | 1370
39005900001599 | UserVvip.allPointActive | 2 | 2 | 1293
39005900001599 | UserHomeBaby.clearGetBabyCd | 64 | 10 | 1252
39005900001599 | UserShip.payGoldDragon | 2 | 1 | 1200
39005900001599 | UserHomeSystem.buy | 5 | 3 | 1050
39005900001599 | Wedding.holdWedding | 1 | 1 | 1000
39005900001599 | UserLanternCopy.exchange | 7 | 3 | 895
39005900001599 | UserStage.sweepOver | 25 | 10 | 810
39005900001599 | UserItem.onePunching | 2 | 2 | 700
39005900001599 | UserTower.clearCd | 34 | 9 | 693
39005900001599 | UserTavern.draw | 3 | 2 | 600
39005900001599 | UserMaze.sweep | 3 | 3 | 600
39005900001599 | UserFurnace.melting | 3 | 1 | 600
39005900001599 | UserTrain.buy | 5 | 3 | 580
39005900001599 | UserBoss.clearCd | 20 | 6 | 500
39005900001599 | UserEndBattle.getAward | 11 | 2 | 500
39005900001599 | QueueRead.quizCheatAll | 1 | 1 | 500
39005900001599 | UserShip.clearCd | 2 | 1 | 497
39005900001599 | UserArena.clearCd | 14 | 8 | 460
39005900001599 | UserResourceRetrieve.autoRetrieve | 2 | 2 | 400
